"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","dataset_id","weight_kg","weight_class"
"2013-P","1299",248.686356498187,"Fumi, Lorenzo",NA,"Other","Italy","Festa della zucca di sale",NA,NA,218.176010250887,222.264141823587,2.02255764307277,"Blue Hubbard",9,112.802233830678,"Light"
"2017-P","671",768.345235184906,"Lizzi, Denis","Calcio","Lombardy","Italy","Festa della zucca di sale","1415 Brezzanix","Self",303.704438695427,NA,2.95322857097639,"Connecticut Field",9,348.515536205729,"Medium"
"2017-P","756",756.784601581425,"Valentini, Berenice","Calcio","Lombardy","Italy","Sfida degli Zucconi della Brianza","1969 Haist","1623,5 Wallace",299.546147551822,636.887598089965,24.8283436117818,"Early Giant",9,343.271721010824,"Medium"
"2013-P","1198",296.679753381159,"Giornale di Brescia, Francesco e Flavio",NA,"Other","Italy","Pesa la Zucca! Foiano",NA,NA,244.768965675098,281.779907388509,2.99511625557036,"Howden",9,134.571672467175,"Light"
"2015-P","1406",368.120217980099,"Italiano, Vincenzo","Arezzo","Other","Italy","Campionato dello Zuccone","1254 Bartoli","Open",257.333805634955,434.783859313831,0,"Cinderella",9,166.97652211851,"Light"
"2019-P","1592",118.558313136702,"Shiratori, Kazuyuki","Shozu, Kagawa","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,NA,0,"Dill's Atlantic",9,53.7771462388788,"Light"
"2013-P","1079",380.420865519434,"Uematu, Kikuo","Kanonji","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,NA,0,0,"Wolf",9,172.556001988411,"Light"
"2020-P","1386",27.207920824946,"Miyamoto, Yoji","Marugame","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Howden",9,12.3413052897596,"Light"
"2017-P","813",781.751914715924,"Ito, Nobuyoshi","Shozu","Other","Japan","Nippon Ichi Dodekabocha Taikai",NA,NA,0,0,0,"Blue Hubbard",9,354.596703748034,"Medium"
"2015-P","1477",336.302109916436,"Spreafico, Luca",NA,"Other","Italy","Campionato dello Zuccone","1254 Bartoli",NA,243.378756656131,335.060251169285,0,"Big Max",9,152.544071072997,"Light"
"2013-P","1291",257.236233371285,"Cutrupi, Stefano","Arezzo","Other","Italy","Campionato dello Zuccone","899 Cutrupi","Open",226.794087988701,256.530155990649,0,"Wolf",9,116.680392744754,"Light"
"2015-P","1303",428.461228549837,"Markl, Michael","Pruggern","Styria","Austria","Austrian Weigh-off","716 Team Biggis 12",NA,272.836753632895,482.674401995405,0,"Champion",9,194.346744111032,"Medium"
